"1","Academic Person","Academic Persons","dbo:Academic"
"2","academic conference","academic conferences","dbo:AcademicConference"
"3","academic journal","academic journals","dbo:AcademicJournal"
"4","activity","activitys","dbo:Activity"
"5","actor","actors","dbo:Actor"
"6","administrative region","administrative regions","dbo:AdministrativeRegion"
"7","adult (pornographic) actor","adult (pornographic) actors","dbo:AdultActor"
"8","agent","agents","dbo:Agent"
"9","aircraft","aircrafts","dbo:Aircraft"
"10","airline","airlines","dbo:Airline"
"11","airport","airports","dbo:Airport"
"12","album","albums","dbo:Album"
"13","amateur boxer","amateur boxers","dbo:AmateurBoxer"
"14","ambassador","ambassadors","dbo:Ambassador"
"15","american football coach","american football coachs","dbo:AmericanFootballCoach"
"16","american football league","american football leagues","dbo:AmericanFootballLeague"
"17","american football player","american football players","dbo:AmericanFootballPlayer"
"18","american football Team","american football Teams","dbo:AmericanFootballTeam"
"19","American Leader","American Leaders","dbo:AmericanLeader"
"20","amphibian","amphibians","dbo:Amphibian"
"21","amusement park attraction","amusement park attractions","dbo:AmusementParkAttraction"
"22","anatomical structure","anatomical structures","dbo:AnatomicalStructure"
"23","animal","animals","dbo:Animal"
"24","animanga character","animanga characters","dbo:AnimangaCharacter"
"25","Anime","Animes","dbo:Anime"
"26","arachnid","arachnids","dbo:Arachnid"
"27","archaea","archaeas","dbo:Archaea"
"28","archbishop","archbishops","dbo:Archbishop"
"29","architect","architects","dbo:Architect"
"30","architectural structure","architectural structures","dbo:ArchitecturalStructure"
"31","artery","arterys","dbo:Artery"
"32","ArtificialSatellite","ArtificialSatellites","dbo:ArtificialSatellite"
"33","artist","artists","dbo:Artist"
"34","artist discography","artist discographys","dbo:ArtistDiscography"
"35","artwork","artworks","dbo:Artwork"
"36","asteroid","asteroids","dbo:Asteroid"
"37","astronaut","astronauts","dbo:Astronaut"
"38","athlete","athletes","dbo:Athlete"
"39","australian football league","australian football leagues","dbo:AustralianFootballLeague"
"40","australian football Team","australian football Teams","dbo:AustralianFootballTeam"
"41","Australian rules football player","Australian rules football players","dbo:AustralianRulesFootballPlayer"
"42","automobile","automobiles","dbo:Automobile"
"43","automobile engine","automobile engines","dbo:AutomobileEngine"
"44","auto racing league","auto racing leagues","dbo:AutoRacingLeague"
"45","award","awards","dbo:Award"
"46","bacteria","bacterias","dbo:Bacteria"
"47","badminton player","badminton players","dbo:BadmintonPlayer"
"48","Band","Bands","dbo:Band"
"49","bank","banks","dbo:Bank"
"50","baronet","baronets","dbo:Baronet"
"51","baseball league","baseball leagues","dbo:BaseballLeague"
"52","baseball player","baseball players","dbo:BaseballPlayer"
"53","baseball season","baseball seasons","dbo:BaseballSeason"
"54","baseball team","baseball teams","dbo:BaseballTeam"
"55","basketball league","basketball leagues","dbo:BasketballLeague"
"56","basketball player","basketball players","dbo:BasketballPlayer"
"57","basketball team","basketball teams","dbo:BasketballTeam"
"58","battery","batterys","dbo:Battery"
"59","bay","bays","dbo:Bay"
"60","beach volleyball player","beach volleyball players","dbo:BeachVolleyballPlayer"
"61","beauty queen","beauty queens","dbo:BeautyQueen"
"62","beverage","beverages","dbo:Beverage"
"63","Biological database","Biological databases","dbo:BiologicalDatabase"
"64","Biomolecule","Biomolecules","dbo:Biomolecule"
"65","bird","birds","dbo:Bird"
"66","bodybuilder","bodybuilders","dbo:Bodybuilder"
"67","body of water","body of waters","dbo:BodyOfWater"
"68","bone","bones","dbo:Bone"
"69","book","books","dbo:Book"
"70","bowling league","bowling leagues","dbo:BowlingLeague"
"71","boxer","boxers","dbo:Boxer"
"72","boxing league","boxing leagues","dbo:BoxingLeague"
"73","brain","brains","dbo:Brain"
"74","brewery","brewerys","dbo:Brewery"
"75","bridge","bridges","dbo:Bridge"
"76","British royalty","British royaltys","dbo:BritishRoyalty"
"77","broadcaster","broadcasters","dbo:Broadcaster"
"78","broadcast network","broadcast networks","dbo:BroadcastNetwork"
"79","building","buildings","dbo:building"
"80","bus company","bus companys","dbo:BusCompany"
"81","businessperson","businesspersons","dbo:BusinessPerson"
"82","liga de fútbol canadiense","liga de fútbol canadienses","dbo:CanadianFootballLeague"
"83","canadian football Player","canadian football Players","dbo:CanadianFootballPlayer"
"84","canal","canals","dbo:Canal"
"85","canoeist","canoeists","dbo:Canoeist"
"86","cardinal","cardinals","dbo:Cardinal"
"87","career station","career stations","dbo:CareerStation"
"88","cartoon","cartoons","dbo:Cartoon"
"89","case","cases","dbo:Case"
"90","castle","castles","dbo:Castle"
"91","cave","caves","dbo:Cave"
"92","celestial body","celestial bodys","dbo:CelestialBody"
"93","chancellor","chancellors","dbo:Chancellor"
"94","cheese","cheeses","dbo:Cheese"
"95","chef","chefs","dbo:Chef"
"96","chemical compound","chemical compounds","dbo:ChemicalCompound"
"97","chemical substance","chemical substances","dbo:ChemicalSubstance"
"98","chess player","chess players","dbo:ChessPlayer"
"99","Christian Bishop","Christian Bishops","dbo:ChristianBishop"
"100","Christian Patriarch","Christian Patriarchs","dbo:ChristianPatriarch"
"101","cinema (movie theater)","cinema (movie theater)s","dbo:Cinema"
"102","city","citys","dbo:City"
"103","city district","city districts","dbo:CityDistrict"
"104","classical music artist","classical music artists","dbo:ClassicalMusicArtist"
"105","classical music composition","classical music compositions","dbo:ClassicalMusicComposition"
"106","cleric","clerics","dbo:Cleric"
"107","clerical administrative region","clerical administrative regions","dbo:ClericalAdministrativeRegion"
"108","club moss","club mosss","dbo:ClubMoss"
"109","coach","coachs","dbo:Coach"
"110","college","colleges","dbo:College"
"111","college coach","college coachs","dbo:CollegeCoach"
"112","colour","colours","dbo:Colour"
