LemonEntry,partOfSpeech,article_singular,writtenForm (singular),spanish_writtenForm (plural),preposition,SyntacticFrame,copulativeArg,prepositionalAdjunct,sense,reference_dbpedia,domain_dbpedia,range_dbpedia,domainSingularArticle,domainWrittenSingularForm,domainWrittenPluralForm,rangeSingularArticle,rangeWrittenSingularForm,rangeWrittenPluralFormIndex
padre_1,noun,masculine,padre,padres,de,NounPPFrame,range,domain,1,dbp:father,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
padre_2,noun,masculine,padre,padres,de,NounPPFrame,range,domain,1,dbo:parent,dbo:Person,dbo:Person,feminine,persona,personas,feminine,persona,personas
Partei,noun,masculine,partido,partidos,de,NounPPFrame,range,domain,1,dbo:party,dbo:Politician,xsd:string,masculine,pol¡tico,pol¡ticos,-,-,-
lugar,noun,masculine,lugar de nacimiento,lugares de nacimiento,de,NounPPFrame,range,domain,1,dbo:birthPlace,dbo:Person,dbo:Place,feminine,persona,personas,masculine,lugar,lugares
deathPlace,noun,masculine,lugar de fallecimiento,lugares de fallecimiento,de,NounPPFrame,range,domain,1,dbo:deathPlace,dbo:Person,xsd:string,feminine,persona,personas,-,-,-
poplaci¢n_total_de,noun,feminine,poplaci¢n total,poblaciones totales,de,NounPPFrame,range,domain,1,dbo:populationTotal,dbo:Location,xsd:double,feminine,ubicacion,ubicaciones,-,-,-
editor_de,noun,masculine,editor,editores,de,NounPPFrame,range,domain,1,dbo:editor,dbo:WrittenWork,masculine,trabajo escrito,trabajos escritos,dbo:Person,feminine,persona,personas
pr„sident_von,noun,masculine,presidente,presidentes,de,NounPPFrame,range,domain,1,dbo:leader,dbo:Legislature,dbo:Person,masculine,legislador,legisladores,feminine,persona,personas
forma_de_gobierno,noun,masculine,forma de gobierno,forma de gobiernos,de,NounPPFrame,range,domain,,dbo:governmentType,dbo:Country,dbo:GovernmentType,masculine,pa¡s,pa¡ses,masculine,tipo,tipos
condados_de,noun,masculine,condados,condados,de,NounPPFrame,domain,range,1,dbo:governmentType,dbo:Country,dbo:Country,masculine,pa¡s,pa¡ses,masculine,tipo,tipos
necesarios_para,noun,masculine,necesarios,necesarios,para,NounPPFrame,range,domain,1,dbo:ingredient,dbo:Food,xsd:string,masculine,ingredientes,ingredientes,-,-,-
libros_en,noun,masculine,libro,libros,en,NounPPFrame,domain,range,1,dbo:series,dbo:WrittenWork,dbo:TelevisionShow,masculine,Trabajo escrito,Trabajo escrito,feminine,serie televisiva,series televisivas
fundador_de,noun,masculine,fundador,fundador,de,NounPPFrame,range,domain,1,dbo:founder,dbo:Publisher,dbo:Person,masculine,editor,editor,feminine,persona,personas
anfitri¢n_de,noun,feminine,anfitri¢n,anfitri¢n,de,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,feminine,serie televisiva,series televisivas,feminine,persona,personas
especiales_de,noun,,especiales,especiales,de,NounPPFrame,range,domain,1,dbo:presenter,dbo:TelevisionShow,dbo:Person,feminine,serie televisiva,series televisivas,feminine,persona,personas
