LemonEntry,partOfSpeech,writtenFormMasculine,writtenFormFeminine,comparative,superlative_singular_masculine,superlative_singular_femine,superlative_plural_masculine,superlative_plural_feminine,SyntacticFrame,predFrame,sense,reference,oils:boundTo,oils:degree,domain,range,preposition,domainArticleIndex,domainWrittenSingularForm,domainWrittenPluralForm,rangeArticleIndex,rangeWrittenSingularForm,rangeWrittenPluralForm
Alta_1,adjective,alto,alta,m s alta que,el m s alto,la m s alta,los m s altos,las m s altas,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:elevation,oils:high,dbo:Country,dbo:Mountain,in,masculine,pa¡s,pa¡ses,feminine,monta¤a,monta¤as
Alta_2,adjective,alto,alta,m s alta que,el m s alto,la m s alta,los m s altos,las m s altas,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,dbo:Place,dbo:Lighthouse,de,masculine,pa¡s,pa¡ses,masculine,faro,faros
alto_1,adjective,alto,alta,m s alto que,el m s alto,la m s alta,los m s altos,las m s altas,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,owl:Thing,dbo:BasketballPlayer,de,masculine,mundo,mundos,masculine,jugador de baloncesto,jugadores de baloncesto
alto_2,adjective,alto,alta,m s alto que,el m s alto,la m s alta,los m s altos,las m s altas,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:height,oils:high,owl:Thing,dbo:Model,in,masculine,mundo,mundos,masculine,modelo,modelos
joven_1,adjective,joven,joven,m s joven que,el m s joven,la m s joven,los m s j¢venes,las m s j¢venes,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:high,owl:Thing,dbo:DartsPlayer,de,masculine,mundo,mundos,masculine,jugador de dardos,jugador de dardos
mayor,adjective,mayor,mayor,mas viejo que,el mas viejo,la m s vieja,los m s viejos,las m s viejas,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:birthDate,oils:low,dbo:Person,dbo:Person,de,feminine,ciudad,ciudades,masculine,ni¤o,ni¤os
big,adjective,grande,grande,m s grande que,el m s grande,la m s grande,los m s grandes,las m s grandes,AdjectiveSuperlativeFrame,PredSynArg,1,oils:CovariantScalar,dbo:seatingCapacity,oils:high,dbo:Country,dbo:Stadium,de,masculine,pa¡s,pa¡ses,masculine,estadio,estadios
