LemonEntry,partOfSpeech,writtenForm,SyntacticFrame,copulativeSubject,attributiveArg,sense,reference,owl:onProperty,owl:hasValue,domain,range,question (attributive use),sparql1,question2 (predicative use),sparql2
australisch,adjective,australisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Australia,dbo:Person,dbo:Artist,"Give me australisch (dbo:nationality res:Australia)(dbo:Artist,X).",SELECT ?X WHERE { X dbo:nationality res:Australia ;  rdf:type dbo:Person},"which (dbo:Artist,X) is australisch (dbo:nationality res:Australia)?",
griechisch,adjective,griechisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Greece,dbo:Person,dbo:Artist,"Give me griechisch (dbo:nationality res:Greece)(dbo:Artist,X).",SELECT ?X WHERE { X dbo:nationality res:Greece ;  rdf:type dbo:Person},"which (dbo:Artist,X) is griechisch (dbo:nationality res:Greece)?",
dänisch,adjective,dänisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Denmark,dbo:Person,dbo:Artist,"Give me dänisch (dbo:nationality res:Denmark)(dbo:Artist,X).",SELECT ?X WHERE { X dbo:nationality res:Denmark ;  rdf:type dbo:Person},"which (dbo:Artist,X) is dänisch (dbo:nationality res:Denmark)?",
Spanisch,adjective,Spanisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:nationality,res:Spain,dbo:Person,dbo:Artist,"Give me Spanisch (dbo:nationality res:Spain)(dbo:Artist,X).",SELECT ?X WHERE { X dbo:nationality res:Spain ;  rdf:type dbo:Person},"which (dbo:Artist,X) is Spanisch (dbo:nationality res:Spain)?",
Schwedisch,adjective,Schwedisch,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:birthPlace,res:Sweden,dbo:Person,dbo:Artist,"Give me Schwedisch (dbo:birthPlace res:Sweden)(dbo:Artist,X).",SELECT ?X WHERE { X dbo:birthPlace res:Sweden ;  rdf:type dbo:Person},"which (dbo:Artist,X) is Schwedisch (dbo:birthPlace res:Sweden)?",
weiblich,adjective,weiblich,AdjectiveAttributiveFrame,PredSynArg,AttrSynArg,1,owl:Restriction,dbo:gender,res:Female,dbo:Economist,dbo:Person,"Give me all weiblich (dbo:gender res:Female)(dbo:Person,X).",SELECT ?isA WHERE { ?isA dbo:gender res:Female. ?isA dbo:Economist},"which (dbo:Person,X)  (dbo:Economist ) is weiblich (dbo:gender res:Female)?",
