LemonEntry,partOfSpeech,writtenFormInfinitive/2ndPerson,writtenForm3rdPerson,writtenFormPast,writtenFormPastPassive,SyntacticFrame,subject,directObject,sense,reference,domain,range,domainArticle,domainWrittenSingular,domainWrittenPlural,rangeArticle,rangeWrittenSingular,rangeWrittenPlural,passivePreposition
called_f,verb,venire chiamata,viene chiamata,venne chiamata,,TransitiveFrame,range,domain,1,dbp:nickname,xsd:string,dbo:Person,,,,,,,da
win_3,verb,avere vinto,ha vinto,ebbe vinto,,TransitiveFrame,range,domain,1,dbo:award,dbo:Person,dbo:Award,,,,,,,da
play_2,verb,interpretare,interpreta,interpretava,,TransitiveFrame,range,domain,1,dbp:portrayer,dbo:FictionalCharacter,dbo:Person,,,,,,,da
mean,verb,significare,significa,significava,,TransitiveFrame,range,domain,1,dbo:abbreviation,xsd:string,xsd:string,,,,,,,da
express,verb,esprimere,esprime,esprimeva,,TransitiveFrame,range,domain,1,dbo:connotation,dbo:Colour,owl:Thing,,,,,,,da
serve,verb,serve,sono serviti,ha servito,,TransitiveFrame,range,domain,1,dbo:targetAirport,dbo:Airline,dbo:Airport,,,,,,,da
record,verb,incidere,incide,ha inciso,,TransitiveFrame,range,domain,1,dbo:recordLabel,dbo:MusicalArtist,dbo:Company,,,,,,,da
influence,verb,influenzare,influenza,ha influenzato,,TransitiveFrame,range,domain,1,dbo:influenced,dbo:Person,dbo:Person,,,,,,,da
write,verb,scrivere,scrive,ha scritto,,TransitiveFrame,range,domain,1,dbo:author,dbo:Book,dbo:Person,,,,,,,da
found_2,verb,fondare,fonda,ha fondato,,TransitiveFrame,range,domain,1,dbo:foundedBy,dbo:Organisation,dbo:Person,,,,,,,da
compose,verb,comporre,compone,ha composto,,TransitiveFrame,range,domain,1,dbo:musicComposer,dbo:Film,dbo:Person,,,,,,,da
