"dbo:AcademicJournal","academic journal","academic journals"
"dbo:Actor","actor","actors"
"dbo:AdministrativeRegion","administrative region","administrative regions"
"dbo:Agent","agent","agents"
"dbo:Airline","airline","airlines"
"dbo:Airport","airport","airports"
"dbo:Album","album","albums"
"dbo:AmericanFootballPlayer","american football player","american football players"
"dbo:Animal","animal","animals"
"dbo:Architect","architect","architects"
"dbo:ArchitecturalStructure","ArchitecturalStructure","ArchitecturalStructures"
"dbo:Article","article","articles"
"dbo:Artist","artist","artists"
"dbo:Artwork","artwork","artworks"
"dbo:Athlete","athlete","athlete"
"dbo:Author","author","authors"
"dbo:Autobiography","autobiography","autobiography"
"dbo:Award","award","awards"
"dbo:Band","band","bands"
"dbo:BasketballPlayer","basketball player","basketball players"
"dbo:Beverage","beverage","beverages"
"dbo:BodyOfWater","river","rivers"
"dbo:Book","book","books"
"dbo:Bridge","Bridge","dbo:Bridges"
"dbo:BroadcastNetwork","broadcast network","broadcast networks"
"dbo:Broadcaster","broadcaster","broadcasters"
"dbo:Building","Building","dbo:Buildings"
"dbo:City","city","cities"
"dbo:Color","color","colors"
"dbo:Colour","color","colors"
"dbo:ComicsCharacter","comic character","comic characters"
"dbo:Company","company","company"
"dbo:Country","country","countries"
"dbo:Currency","currency","currencies"
"dbo:DartsPlayer","DartsPlayer","DartsPlayers"
"dbo:Disease","disease","diseases"
"dbo:EducationalInstitution","educational institution","educational institutions"
"dbo:EthnicGroup","ethnic group","ethnic groups"
"dbo:Event","event","events"
"dbo:FictionalCharacter","fictional character","fictional characters"
"dbo:Film","film","film"
"dbo:Food","food","foods"
"dbo:Foundation_series","book","book"
"dbo:Genre","genre","genres"
"dbo:Grape","grape","grapes"
"dbo:HockeyTeam","HockeyTeam","HockeyTeams"
"dbo:IceHockeyLeague","Ice Hockey League","Ice Hockey Leagues"
"dbo:Ideology","ideology","ideologies"
"dbo:Infrastructure","infrastructure","infrastructures"
"dbo:Lake","lake","lakes"
"dbo:Language","language","languages"
"dbo:LaunchPad","launch pad","launch pads"
"dbo:Legislature","legislature","legislatures"
"dbo:Lighthouse","Lighthouse","Lighthouses"
"dbo:Location","location","locations"
"dbo:Loyalty","loyality","loyalities"
"dbo:MilitaryConflict","military conflict","military conflicts"
"dbo:MilitaryPerson","person","persons"
"dbo:MilitaryUnit","military unit","military units"
"dbo:Model","model","models"
"dbo:Mountain","mountain","mountains"
"dbo:MountainRange","mountain range","mountain ranges"
"dbo:Museum","museum","museums"
"dbo:Musical","musical","musicals"
"dbo:MusicalArtist","musical artist","musical artists"
"dbo:MusicalWork","musical work","musical works"
"dbo:Organisation","organisation","organisations"
"dbo:PeriodicalLiterature","periodical literature","periodical literatures"
"dbo:Person","person","persons"
"dbo:Place","place","places"
"dbo:Planet","plant","planets"
"dbo:Play","play","plays"
"dbo:PoliticalParty","politicalParty","politicalParties"
"dbo:Politician","politician","politicians"
"dbo:Pope","pope","popes"
"dbo:PopulatedPlace","populated place","populated places"
"dbo:Publisher","publisher","publishers"
"dbo:River","river","rivers"
"dbo:Road","road","roads"
"dbo:RouteOfTransportation","route of transportation","routes of transportation"
"dbo:Royalty","Royalty","Royalties"
"dbo:Scientist","scientist","scientists"
"dbo:Settlement","settlement","settlements"
"dbo:Ship","work","works"
"dbo:Single","person","persons"
"dbo:Software","software","softwares"
"dbo:Song","song","songs"
"dbo:SportsClub","SportsClub","SportsClubs"
"dbo:SportsTeam","sports team","sports teams"
"dbo:Stadium","stadium","stadiums"
"dbo:State","state","states"
"dbo:Stream","stream","streams"
"dbo:TelevisionShow","television show","television shows"
"dbo:Tower","tower","towers"
"dbo:Town","city","cities"
"dbo:VideoGame","video game","video games"
"dbo:Website","Website","Websites"
"dbo:WineRegion","wine region","wine regions"
"dbo:Work","work","works"
"dbo:Writer","writer","writers"
"dbo:WrittenWork","written work","written work"
"owl:Thing","world","world"
"property","SingularForm","PluralForm"
"res:Surfing","surfer","surfers"
"xsd:String","-","-"
"xsd:date","-","-"
"xsd:double","-","-"
"xsd:gYear","-","-"
"xsd:nonNegativeInteger","seat","seats"
"xsd:positiveInteger","-","-"
"xsd:string","-","-"
